timestamp,emotion,confidence
2025-12-29 15:31:51,surprise,60.54
2025-12-29 15:31:51,surprise,68.51
2025-12-29 15:31:51,surprise,74.31
2025-12-29 15:31:51,surprise,76.27
2025-12-29 15:31:51,surprise,80.43
2025-12-29 15:31:51,surprise,81.17
2025-12-29 15:31:52,surprise,81.93
2025-12-29 15:31:52,surprise,74.27
2025-12-29 15:31:52,surprise,77.08
2025-12-29 15:31:52,surprise,81.85
2025-12-29 15:31:52,surprise,85.05
2025-12-29 15:31:52,surprise,85.30
2025-12-29 15:31:52,surprise,80.79
2025-12-29 15:31:52,surprise,75.57
2025-12-29 15:31:53,surprise,71.70
2025-12-29 15:31:53,surprise,70.90
2025-12-29 15:31:53,surprise,69.30
2025-12-29 15:31:53,surprise,77.39
2025-12-29 15:31:53,surprise,79.71
2025-12-29 15:31:53,surprise,79.43
2025-12-29 15:31:53,surprise,79.02
2025-12-29 15:31:54,surprise,69.70
2025-12-29 15:31:54,surprise,64.54
2025-12-29 15:31:55,confused,63.87
2025-12-29 15:31:55,confused,65.66
2025-12-29 15:31:55,confused,61.64
2025-12-29 15:31:57,disgust,60.26
2025-12-29 15:31:58,disgust,60.14
2025-12-29 15:31:59,confused,60.33
2025-12-29 15:31:59,confused,63.04
2025-12-29 15:32:00,confused,68.01
2025-12-29 15:32:00,confused,68.40
2025-12-29 15:32:00,confused,65.22
2025-12-29 15:32:00,confused,62.47
2025-12-29 15:32:01,confused,60.33
2025-12-29 15:32:01,confused,62.26
2025-12-29 15:32:01,confused,66.86
2025-12-29 15:32:02,confused,71.31
2025-12-29 15:32:02,confused,77.70
2025-12-29 15:32:02,confused,74.31
2025-12-29 15:32:02,confused,76.34
2025-12-29 15:32:03,confused,81.04
2025-12-29 15:32:03,confused,79.14
2025-12-29 15:32:03,confused,70.15
2025-12-29 15:32:03,confused,60.92
2025-12-29 15:32:04,surprise,68.33
2025-12-29 15:32:04,surprise,68.36
2025-12-29 15:32:04,surprise,66.21
2025-12-29 15:32:05,surprise,65.25
2025-12-29 15:32:06,confused,63.56
2025-12-29 15:32:07,confused,69.80
2025-12-29 15:32:07,confused,74.55
2025-12-29 15:32:07,confused,72.67
2025-12-29 15:32:07,confused,75.45
2025-12-29 15:32:07,confused,70.93
2025-12-29 15:32:08,confused,69.79
2025-12-29 15:32:08,confused,68.61
2025-12-29 15:32:08,confused,70.90
2025-12-29 15:32:08,confused,73.14
2025-12-29 15:32:08,confused,73.98
2025-12-29 15:32:08,confused,73.78
2025-12-29 15:32:09,confused,71.70
2025-12-29 15:32:09,confused,72.55
2025-12-29 15:32:09,confused,71.28
2025-12-29 15:32:09,confused,73.23
2025-12-29 15:32:09,confused,72.30
2025-12-29 15:32:09,confused,73.55
2025-12-29 15:32:10,confused,72.84
2025-12-29 15:32:10,confused,68.53
2025-12-29 15:32:10,confused,62.47
2025-12-29 15:32:10,confused,62.05
2025-12-29 15:32:14,confused,63.43
2025-12-29 15:32:14,confused,69.28
2025-12-29 15:32:15,confused,74.48
2025-12-29 15:32:15,confused,77.76
2025-12-29 15:32:15,confused,81.68
2025-12-29 15:32:15,confused,83.09
2025-12-29 15:32:15,confused,87.85
2025-12-29 15:32:15,confused,87.61
2025-12-29 15:32:15,confused,87.86
2025-12-29 15:32:16,confused,87.61
2025-12-29 15:32:16,confused,88.15
2025-12-29 15:32:16,confused,85.35
2025-12-29 15:32:16,confused,85.45
2025-12-29 15:32:16,confused,85.84
2025-12-29 15:32:16,confused,86.43
2025-12-29 15:32:17,confused,86.19
2025-12-29 15:32:17,confused,86.32
2025-12-29 15:32:17,confused,83.77
2025-12-29 15:32:17,confused,83.87
2025-12-29 15:32:17,confused,77.50
2025-12-29 15:32:18,confused,69.50
2025-12-29 15:32:18,confused,64.04
2025-12-29 15:32:22,confused,62.33
2025-12-29 15:32:23,confused,62.49
2025-12-29 15:32:23,confused,60.73
2025-12-29 15:32:25,confused,62.69
2025-12-29 15:32:25,confused,66.39
2025-12-29 15:32:25,confused,61.63
2025-12-29 15:32:25,confused,60.07
2025-12-29 15:32:28,confused,60.07
2025-12-29 15:32:28,confused,62.51
2025-12-29 15:32:28,confused,70.86
2025-12-29 15:32:28,confused,73.71
2025-12-29 15:32:28,confused,74.32
2025-12-29 15:32:29,confused,80.86
2025-12-29 15:32:29,confused,81.93
2025-12-29 15:32:29,confused,84.13
2025-12-29 15:32:29,confused,86.98
2025-12-29 15:32:29,confused,88.06
2025-12-29 15:32:29,confused,91.64
2025-12-29 15:32:30,confused,93.70
2025-12-29 15:32:30,confused,93.19
2025-12-29 15:32:30,confused,93.20
2025-12-29 15:32:30,confused,90.39
2025-12-29 15:32:30,confused,89.77
2025-12-29 15:32:30,confused,88.07
2025-12-29 15:32:31,confused,84.59
2025-12-29 15:32:31,confused,82.57
2025-12-29 15:32:31,confused,80.17
2025-12-29 15:32:31,confused,76.97
2025-12-29 15:32:31,confused,75.61
2025-12-29 15:32:31,confused,74.18
2025-12-29 15:32:32,confused,71.40
2025-12-29 15:32:32,confused,72.57
2025-12-29 15:32:32,confused,67.20
2025-12-29 15:32:32,confused,62.16
2025-12-29 15:32:33,confused,61.84
2025-12-29 15:32:34,confused,63.35
2025-12-29 15:32:34,confused,66.13
2025-12-29 15:32:34,confused,65.32
2025-12-29 15:32:35,confused,63.95
2025-12-29 15:32:35,confused,63.90
2025-12-29 15:32:35,confused,63.80
2025-12-29 15:32:36,confused,61.85
2025-12-29 15:32:41,confused,61.14
2025-12-29 15:32:41,confused,67.30
2025-12-29 15:32:42,confused,71.56
2025-12-29 15:32:42,confused,74.58
2025-12-29 15:32:42,confused,78.98
2025-12-29 15:32:42,confused,83.44
2025-12-29 15:32:42,confused,88.66
2025-12-29 15:32:43,confused,85.71
2025-12-29 15:32:43,confused,85.77
2025-12-29 15:32:43,confused,88.26
2025-12-29 15:32:43,confused,89.48
2025-12-29 15:32:43,confused,89.71
2025-12-29 15:32:43,confused,90.15
2025-12-29 15:32:44,confused,90.26
2025-12-29 15:32:44,confused,89.58
2025-12-29 15:32:44,confused,90.46
2025-12-29 15:32:44,confused,91.37
2025-12-29 15:32:44,confused,94.30
2025-12-29 15:32:44,confused,95.00
2025-12-29 15:32:45,confused,94.77
2025-12-29 15:32:45,confused,95.00
2025-12-29 15:32:45,confused,93.68
2025-12-29 15:32:45,confused,93.32
2025-12-29 15:32:45,confused,90.20
